name,lat,lon,elev_m
P330,40.324068862,-123.135581508,1653.0023722
P331,40.732914311,-123.324142637,1541.9717422
P332,40.54665034,-123.17450383,684.5017279
P333,39.621380985,-122.975753515,2008.8291802
P335,39.726189832,-122.873637045,2229.5041081
P336,39.528079974,-122.430483615,286.7252842
P337,40.296188876,-122.868804452,1193.3124044
P338,40.747552991,-122.92302833,672.228002
P339,40.0341106,-122.668249575,979.5615729
P341,40.650656231,-122.606899854,406.8370122
P343,40.887128079,-123.334210125,1617.4514583
P344,39.929123049,-122.027971433,49.780045
P345,40.271234438,-122.270805988,134.0938736
P348,40.905545797,-121.828002815,1668.0786179
P349,40.731085459,-122.319350817,275.4100811
P362,42.209103849,-124.225788354,1012.3735317
P363,42.860063658,-124.054048353,70.3788769
P364,43.090327755,-124.409290146,6.4159812
P365,43.395518225,-124.253482513,27.097853
P366,43.614310593,-123.9795938,529.0817766
P367,44.585246292,-124.061571085,22.9121087
P368,42.503524566,-123.383419972,319.4391445
P369,43.140104991,-123.429459776,190.0207898
P370,42.19098701,-122.656371175,555.0537919
P371,43.363273649,-123.057899231,1198.0494044
P373,43.622519102,-123.333274438,169.9254494
P374,44.381925787,-123.590640137,73.2216593
P375,44.689254505,-123.426986834,99.2055814
P376,44.941202886,-123.102266112,180.8464707
P377,44.052118724,-122.887057938,142.3899612
P378,44.53498241,-122.93088144,83.1026163
P379,44.496504806,-122.577043871,1221.7758229
P380,42.259670422,-121.779697331,1390.8447237
P382,43.177056638,-121.769573889,1453.2244534
P383,44.342184517,-122.217220302,1295.5985193
P384,44.841130536,-122.482818396,1182.5624113
P385,44.434848331,-121.945833824,1120.7989355
P387,44.296756165,-121.574476898,962.5963158
P395,45.022279225,-123.857526944,53.0487497
P396,45.309513301,-123.822895403,54.5503524
P397,46.421619039,-123.799160826,566.301618
P398,46.925784746,-123.916144767,23.4856957
P399,47.433919655,-123.61296104,919.4157381
P400,47.51334846,-123.812450795,64.9669442
P401,47.937187744,-124.55701961,36.2036118
P402,47.766221209,-124.30589746,23.7217671
P403,48.062321873,-124.140875158,284.6511348
P404,45.158533809,-123.39032792,79.0261732
P405,45.629326973,-123.643757115,955.6500824
P406,45.190372355,-123.152256706,27.2763091
P407,45.954649371,-123.931006014,-13.1225236
P408,46.200501798,-123.376586522,35.2731655
P409,45.851293681,-123.239477487,177.2742821
P410,46.111141549,-123.078605559,173.124462
P411,45.53799288,-123.157417058,83.3636545
P412,45.22110585,-122.589101187,53.2042613
P414,45.834868574,-122.692837443,63.8251917
P415,46.655990796,-123.72986566,-15.4064251
P416,47.039942006,-121.596928466,1576.5251309
P417,46.574737874,-123.297929752,102.4760065
P418,47.236645115,-123.407813448,115.1465696
P419,47.409298533,-123.366526467,935.9719003
P420,46.58860218,-122.866331539,74.1152415
P421,46.531856052,-122.429229083,220.5829506
P423,47.287903558,-122.94121013,39.9341306
P424,47.823183787,-122.874712631,-1.5935504
P425,46.452693824,-122.845399059,64.271968
P426,47.802724725,-122.514585308,3.3568743
P427,45.430178732,-122.340631048,149.1873123
P428,45.344560083,-121.672713198,1983.9149287
P429,45.676127831,-121.877359968,25.5443567
P430,47.003844149,-123.436222262,-4.3827676
P431,46.572081572,-121.988452877,1422.7113493
P432,46.622855874,-121.683229552,318.8861751
P434,47.740202473,-121.075608748,1698.029232
P435,48.059549048,-123.503278651,287.3175166
P436,48.045302536,-123.134348069,190.8622425
P437,48.001809435,-122.459157577,12.467414
P438,48.419147954,-122.670262872,-9.898934
P439,48.70819255,-122.909303412,-13.8719842
P440,48.856193424,-122.493341054,6.329347
P441,48.915978697,-122.139642079,115.1960379
P442,48.260480084,-121.61554963,146.8834987
P443,48.509647657,-121.285556906,1062.1043928
P444,48.730219285,-121.067547715,493.8770832
P446,46.115662233,-122.892787813,-16.4567314
P655,41.294485854,-122.206321668,1542.5169105
P656,41.344838929,-122.195837621,2398.6135545
P657,41.381239204,-122.293848294,1684.4329173
P658,41.479176896,-122.190911948,1915.1903776
P659,41.453733431,-122.092663384,1791.0877522
P660,41.409591405,-122.067677699,1587.1831858
P661,41.463597954,-122.312670453,1324.1832694
P663,41.531939673,-122.152922587,2238.0040754
P664,40.473195953,-121.495904699,2569.1277496
P665,40.456127929,-121.52575454,2326.7990343
P666,40.465345476,-121.514509352,2471.5425635
P667,40.465826738,-121.467440047,2334.0602693
P668,40.50899391,-121.46307672,1982.4976758
P669,40.492124472,-121.603786379,1842.9328527
P670,40.539905312,-121.577196313,1731.7483166
P671,40.409140995,-121.428208266,1958.7918091
P672,41.711570118,-121.506937654,1435.1143572
P673,41.585823253,-121.613014706,2017.9044958
P674,41.616322401,-121.48998561,1897.2379857
P687,46.109572279,-122.354639015,391.0505507
P688,46.030121441,-122.164160946,1165.7357032
P689,46.189553469,-122.360619906,1359.4523631
P690,46.179988971,-122.189869157,2078.8982453
P691,46.23148369,-122.22696457,1182.885814
P692,46.224498541,-122.184208026,1491.8727093
P693,46.210321706,-122.20234797,2113.016019
P694,46.299629437,-122.181931127,1725.6776006
P695,46.198987467,-122.164213375,2015.673917
P696,46.196881148,-122.15163592,1600.0181191
P697,46.187642593,-122.176609097,2214.5991229
P698,46.173465817,-122.160611427,1479.3981974
P699,46.189783957,-122.203225644,2274.1058362
P700,46.178134981,-122.217365604,1521.6649406
